%time,field.x,field.y,field.z
135700000000,-6.68909345682,-6.89137753969,0.0
135800000000,-6.68909345682,-6.89137753969,0.0
135900000000,-6.68909345682,-6.89137753969,0.0
136000000000,-6.68909345682,-6.89137753969,0.0
136100000000,-6.68909345682,-6.89137753969,0.0
136200000000,-6.68909345682,-6.89137753969,0.0
136300000000,-6.68909345682,-6.89137753969,0.0
136400000000,-6.68909345682,-6.89137753969,0.0
136500000000,-6.68909345682,-6.89137753969,0.0
136600000000,-6.68909345682,-6.89137753969,0.0
136700000000,-6.68909345682,-6.89137753969,0.0
136800000000,-6.68909345682,-6.89137753969,0.0
136900000000,-6.68909345682,-6.89137753969,0.0
137000000000,-6.68909345682,-6.89137753969,0.0
137100000000,-6.68909345682,-6.89137753969,0.0
137200000000,-6.68909345682,-6.89137753969,0.0
137300000000,-6.68909345682,-6.89137753969,0.0
137400000000,-6.68909345682,-6.89137753969,0.0
137500000000,-6.68787553623,-6.88979113828,0.0
137600000000,-6.68534562129,-6.88669282739,0.0
137700000000,-6.68145856469,-6.8821221829,0.0
137800000000,-6.67621514079,-6.87608012152,0.0
137900000000,-6.67228257286,-6.87154857548,0.0
138000000000,-6.66963078219,-6.86855391252,0.0
138100000000,-6.66963078219,-6.86855391252,0.0
138200000000,-6.66963078219,-6.86855391252,0.0
138300000000,-6.66963078219,-6.86855391252,0.0
138400000000,-6.66963078219,-6.86855391252,0.0
138500000000,-6.66802592148,-6.86736042096,0.0
138600000000,-6.66470342845,-6.86513308172,0.0
138700000000,-6.6595624313,-6.86203951609,0.0
138800000000,-6.65254830526,-6.85819217469,0.0
138900000000,-6.6436403392,-6.85364815217,0.0
139000000000,-6.63284386849,-6.84841019262,0.0
139100000000,-6.62018750728,-6.84242550208,0.0
139200000000,-6.60391504287,-6.83473089995,0.0
139300000000,-6.58583452685,-6.82618134203,0.0
139300000000,-6.56594595923,-6.81677682832,0.0
139500000000,-6.54424934001,-6.80651735882,0.0
139600000000,-6.51893661759,-6.79454797774,0.0
139600000000,-6.49181584357,-6.78172364086,0.0
139800000000,-6.46288701794,-6.76804434819,0.0
139800000000,-6.43215014071,-6.75351009973,0.0
140000000000,-6.39960521189,-6.73812089548,0.0
140100000000,-6.36525223146,-6.72187673543,0.0
140200000000,-6.32547509622,-6.70306770801,0.0
140300000000,-6.28027380618,-6.68169381322,0.0
140300000000,-6.22784030973,-6.65690009525,0.0
140500000000,-6.16998265848,-6.62954150992,0.0
140600000000,-6.10670085243,-6.5996180572,0.0
140700000000,-6.04161099477,-6.5688396487,0.0
140800000000,-5.97832918871,-6.53891619599,0.0
140900000000,-5.91656782779,-6.51046387978,0.0
141000000000,-5.85608269322,-6.48405273639,0.0
141100000000,-5.79668862411,-6.46021275831,0.0
141200000000,-5.7382730911,-6.43943715955,0.0
141300000000,-5.68082727553,-6.4221172787,0.0
141400000000,-5.62454474701,-6.4081073899,0.0
141500000000,-5.5696070914,-6.39725133189,0.0
141600000000,-5.51618336442,-6.3893833337,0.0
141600000000,-5.46442959762,-6.38432886811,0.0
141800000000,-5.41448835783,-6.38190552997,0.0
141900000000,-5.36648836136,-6.38192393611,0.0
142000000000,-5.32054414409,-6.38418864352,0.0
142100000000,-5.27874616797,-6.38830315351,0.0
142200000000,-5.23907402354,-6.39341402,0.0
142200000000,-5.20346822376,-6.3987269309,0.0
142300000000,-5.16984052397,-6.40374468009,0.0
142500000000,-5.13814528155,-6.4081505407,0.0
142600000000,-5.10835433006,-6.41168596279,0.0
142700000000,-5.08046297629,-6.41415018377,0.0
142800000000,-5.05249539008,-6.41549707698,0.0
142900000000,-5.02249637955,-6.41574073128,0.0
143000000000,-4.99050403767,-6.41504068791,0.0
143100000000,-4.95653384749,-6.41361724864,0.0
143200000000,-4.92457689923,-6.41195789397,0.0
143300000000,-4.89465436279,-6.40980340724,0.0
143400000000,-4.86679954522,-6.40695575244,0.0
143500000000,-4.83710098,-6.40271367465,0.0
143600000000,-4.8055724908,-6.39724061619,0.0
143700000000,-4.77219646535,-6.39075671883,0.0
143800000000,-4.73692756312,-6.38353837168,0.0
143900000000,-4.69969927743,-6.37591900525,0.0
144000000000,-4.65659284137,-6.36709658096,0.0
144100000000,-4.60564887149,-6.35667007952,0.0
144200000000,-4.54882675123,-6.34504052023,0.0
144300000000,-4.4861264806,-6.33220790308,0.0
144400000000,-4.4175480596,-6.31817222807,0.0
144500000000,-4.34113210477,-6.30253247592,0.0
144500000000,-4.26275676648,-6.28649170448,0.0
144700000000,-4.18650102733,-6.27008858749,0.0
144800000000,-4.11253505232,-6.25262334944,0.0
144900000000,-4.04105804895,-6.23346511389,0.0
145000000000,-3.97231390422,-6.21205851291,0.0
145100000000,-3.90657577048,-6.18800653227,0.0
145200000000,-3.84393347327,-6.16155010394,0.0
145300000000,-3.78265835279,-6.13206519916,0.0
145400000000,-3.72113902203,-6.0986680145,0.0
145500000000,-3.66132458169,-6.06230549634,0.0
145600000000,-3.60501404449,-6.02418564062,0.0
145600000000,-3.55223232651,-5.98456127631,0.0
145800000000,-3.50298814442,-5.94368328063,0.0
145900000000,-3.45727427476,-5.90179960696,0.0
146000000000,-3.41506786918,-5.85915433374,0.0
146100000000,-3.3763308242,-5.81598673772,0.0
146200000000,-3.34101020379,-5.77253039441,0.0
146300000000,-3.309038713,-5.72901230878,0.0
146400000000,-3.28033522073,-5.68565207895,0.0
146500000000,-3.25480532938,-5.64266109562,0.0
146600000000,-3.23234198935,-5.60024177979,0.0
146700000000,-3.21282615578,-5.55858686124,0.0
146800000000,-3.19612748511,-5.51787869992,0.0
146900000000,-3.18210506877,-5.47828865268,0.0
147000000000,-3.17003335797,-5.43806087872,0.0
147000000000,-3.15946059656,-5.39535002862,0.0
147200000000,-3.15060170352,-5.35021113171,0.0
147300000000,-3.14366957271,-5.30271433642,0.0
147400000000,-3.1388741068,-5.25294483264,0.0
147500000000,-3.1358486156,-5.19902965479,0.0
147600000000,-3.13382986285,-5.14306605379,0.0
147700000000,-3.13226662163,-5.0830864216,0.0
147800000000,-3.13065127237,-5.02110746834,0.0
147900000000,-3.12893170703,-4.95512987294,0.0
148000000000,-3.12716003365,-4.88715295647,0.0
148100000000,-3.12533625223,-4.81717671892,0.0
148100000000,-3.12346036277,-4.7452011603,0.0
148300000000,-3.12153236527,-4.67122628061,0.0
148400000000,-3.11955225972,-4.59525207984,0.0
148500000000,-3.1174679381,-4.51527923693,0.0
148500000000,-3.11533150843,-4.43330707294,0.0
148600000000,-3.11314297073,-4.34933558789,0.0
148800000000,-3.11090232498,-4.26336478176,0.0
148900000000,-3.1086095712,-4.17539465455,0.0
148900000000,-3.10636892545,-4.08942384842,0.0
149100000000,-3.10418038775,-4.00545236337,0.0
149200000000,-3.10204395808,-3.92348019938,0.0
149300000000,-3.09995963646,-3.84350735647,0.0
149400000000,-3.09792742288,-3.76553383463,0.0
149500000000,-3.09594731733,-3.68955963387,0.0
149600000000,-3.09401931983,-3.61558475417,0.0
149700000000,-3.09214343037,-3.54360919555,0.0
149800000000,-3.09031964895,-3.473632958,0.0
149900000000,-3.08854797557,-3.40565604153,0.0
150000000000,-3.08682841023,-3.33967844613,0.0
150100000000,-3.08580080838,-3.27568669639,0.0
